身份证代码,地址
362426,江西省  泰和县  
362427,江西省  遂川县  
362428,江西省  万安县  
362429,江西省  安福县  
362430,江西省  永新县  
362432,江西省  宁冈县  
362402,江西省  井冈山市  
362500,江西省抚州地区  
362501,江西省  临川市  
362522,江西省  南城县  
362523,江西省  黎川县  
362524,江西省  南丰县  
362525,江西省  崇仁县  
362526,江西省  乐安县  
362527,江西省  宣黄县  
362528,江西省  金溪县  
362529,江西省  资溪县  
362531,江西省  东乡县  
362532,江西省  广昌县  
362300,江西省上饶地区  
362301,江西省  上饶市  
362321,江西省  上饶县  
362322,江西省  广丰县  
362323,江西省  玉山县  
362324,江西省  铅山县  
362325,江西省  横峰县  
362326,江西省  弋阳县  
362329,江西省  余干县  
362330,江西省  波阳县  
362331,江西省  万年县  
362334,江西省  婺源县  
362302,江西省  德兴市  
310101,上海市黄浦区  
310102,上海市南市区  
320511,江苏省苏州市  郊区  
429001,湖北省随州市  
420983,湖北省孝感广水市 
332500,浙江省丽水地区  
332501,浙江省  丽水市  
332522,浙江省  青田县  
332526,浙江省  缙云县  
332527,浙江省  遂昌县  
332528,浙江省  松阳县  
332523,浙江省  云和县  
332525,浙江省  庆元县  
332529,浙江省 景宁畲族自治县
332502,浙江省  龙泉市  
372300,山东省滨州地区  
372301,山东省  滨州市  
372321,山东省  惠民县  
372323,山东省  阳信县  
372324,山东省  无棣县  
372325,山东省  沾化县  
372328,山东省  博兴县  
372330,山东省  邹平县  
372900,山东省荷泽地区  
372901,山东省  荷泽市  
372922,山东省  曹县    
372925,山东省  单县    
372924,山东省  成武县  
372926,山东省  巨野县  
372928,山东省  郓城县  
372929,山东省  鄄城县  
372923,山东省  定陶县  
372930,山东省  东明县  
370911,山东省  郊区  
142700,山西省运城地区  
142701,山西省  运城市  
142724,山西省  临猗县  
142725,山西省  万荣县  
142729,山西省  闻喜县  
142727,山西省  稷山县  
142726,山西省  新绛县  
142731,山西省  绛  县  
142733,山西省  垣曲县  
142730,山西省  夏  县  
142732,山西省  平陆县  
142723,山西省  芮城县  
142702,山西省  永济市  
142703,山西省  河津市  
142600,山西省临汾地区  
142601,山西省  临汾市  
142621,山西省  曲沃县  
142622,山西省  翼城县  
142623,山西省  襄汾县  
142625,山西省  洪洞县  
142627,山西省  古县    
142628,山西省  安泽县  
142629,山西省  浮山县  
142630,山西省  吉县    
142631,山西省  乡宁县  
142633,山西省  大宁县  
142635,山西省  隰县    
142634,山西省  永和县  
142632,山西省  蒲县    
142636,山西省  汾西县  
142602,山西省  侯马市  
142603,山西省  霍州市  
142200,山西省忻州地区  
142201,山西省  忻州市  
142222,山西省  定襄县  
142223,山西省  五台县  
142225,山西省  代  县  
142226,山西省  繁峙县  
142227,山西省  宁武县  
142228,山西省  静乐县  
142229,山西省  神池县  
142230,山西省  五寨县  
142231,山西省  岢岚县  
142232,山西省  河曲县  
142233,山西省  保德县  
142234,山西省  偏关县  
142202,山西省  原平市 
