中文,英文,3字母,3字母,2字母,2字母,1字母,1字母,其他
,,縮寫,縮寫,縮寫,縮寫,縮寫,縮寫,縮寫
星期日,Sunday,SUN,Sun,SU,Su, ,S
星期一,Monday,MON,Mon,MO,Mo, ,M,
星期二,Tuesday,TUE,Tue,TU,Tu, ,T,Tues
星期三,Wednesday,WED,Wed,WE,We, ,W,
星期四,Thursday,THU,Thu,TH,Th,T,R,Thur / Thurs
星期五,Friday,FRI,Fri,FR,Fr, ,F,
星期六,Saturday,SAT,Sat,SA,Sa, ,S,
