中文,数字,中文2,英文,3字母,3字母.1,2字母,2字母.1,1字母,1字母.1,其他
星期日,0,周日,Sunday,SUN,Sun,SU,Su, ,S,
星期一,1,周一,Monday,MON,Mon,MO,Mo, ,M,
星期二,2,周二,Tuesday,TUE,Tue,TU,Tu, ,T,Tues
星期三,3,周三,Wednesday,WED,Wed,WE,We, ,W,
星期四,4,周四,Thursday,THU,Thu,TH,Th,T,R,Thur / Thurs
星期五,5,周五,Friday,FRI,Fri,FR,Fr, ,F,
星期六,6,周六,Saturday,SAT,Sat,SA,Sa, ,S,
